Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000071526.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000153418.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000120226.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000097393.11,129.187,7.114,257.49,249.251,265.872,35.228,222.607,124.118,172.798,23.397,58.354
ENSMUST00000143545.2,2165.673,1311.492,2623.157,1391.918,818.66,910.469,1906.821,1665.245,647.373,477.081,808.582
ENSMUST00000128427.2,186.912,111.667,368.026,181.241,151.185,119.221,254.285,331.684,104.736,84.518,214.827
ENSMUST00000179290.8,46.943,0.0,0.0,84.427,41.469,46.89,59.281,33.697,42.779,5.041,69.027
ENSMUST00000071005.9,61.924,0.0,11.222,0.0,17.615,0.0,6.084,0.0,166.099,0.0,351.489
ENSMUST00000201981.2,3.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0
ENSMUST00000086483.4,8.0,23.0,10.771,6.715,5.958,10.996,9.452,17.0,2.0,0.0,0.0
ENSMUST00000103518.2,0.0,7.0,0.0,25.317,18.382,3.0,0.0,0.0,27.721,0.0,50.964
ENSMUST00000239358.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.425,0.0,0.0
ENSMUST00000127214.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000087205.7,23.4,1.473,23.047,35.196,33.244,18.329,32.818,11.06,16.321,0.0,16.686
ENSMUST00000159936.8,57.998,0.0,177.77,250.944,373.927,20.688,215.209,123.074,431.219,33.215,63.728
ENSMUST00000180594.7,0.0,0.0,1.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
ENSMUST00000201231.2,1.061,0.0,0.0,0.0,0.0,0.0,6.138,0.0,0.0,0.0,0.0
ENSMUST00000192054.2,2.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.069,0.0
ENSMUST00000041401.11,2172.987,782.0,4164.813,3333.599,2445.067,924.884,3241.476,1891.0,2445.299,887.0,1853.0
ENSMUST00000246249.1,45.402,0.0,7.16,0.0,5.895,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000189364.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000103298.2,2.0,0.0,1.0,5.0,1.0,4.0,6.0,0.0,2.0,0.0,0.0
ENSMUST00000238569.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000151683.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ENSMUST00000138313.6,251.446,253.199,174.3,171.726,98.21,172.165,138.543,196.278,82.332,167.683,118.363
